TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
FI;01.634.642/0001-05;LEVE BD FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Cotas de Fundos;0;0;53816718;;2022-03-31
FI;01.634.642/0001-05;LEVE BD FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Disponibilidades;;;5093;;2022-03-31
FI;01.634.642/0001-05;LEVE BD FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Operações Compromissadas;;;10974880;;2022-03-31
FI;01.634.642/0001-05;LEVE BD FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Títulos Públicos;0;0;887072806;;2022-03-31
FI;01.634.642/0001-05;LEVE BD FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a pagar;;;466535;;2022-03-31
FI;01.634.642/0001-05;LEVE BD FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a receber;;;403096;;2022-03-31
FI;01.643.271/0001-28;FCOPEL FUNDO DE INVESTIMENTO EM ACOES II;2021-12-31;Ações;57488609;61597392;101515026;;2022-03-31
FI;01.643.271/0001-28;FCOPEL FUNDO DE INVESTIMENTO EM ACOES II;2021-12-31;Disponibilidades;;;30664;;2022-03-31
FI;01.643.271/0001-28;FCOPEL FUNDO DE INVESTIMENTO EM ACOES II;2021-12-31;Operações Compromissadas;;;22058214;;2022-03-31
FI;01.643.271/0001-28;FCOPEL FUNDO DE INVESTIMENTO EM ACOES II;2021-12-31;Valores a pagar;;;247701;;2022-03-31
FI;01.643.271/0001-28;FCOPEL FUNDO DE INVESTIMENTO EM ACOES II;2021-12-31;Valores a receber;;;1416257;;2022-03-31
FI;01.675.497/0001-00;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Ações;4130406;8311144;61331429;;2022-03-31
FI;01.675.497/0001-00;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Brazilian Depository Receipt - BDR;;;2364017;;2022-03-31
FI;01.675.497/0001-00;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Certificado ou recibo de depósito de valores mobiliários;;;19113384;;2022-03-31
FI;01.675.497/0001-00;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Cotas de Fundos;;;48213562;;2022-03-31
FI;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO DE AÇÕES;2021-12-31;Ações;2090199;15028946;152672126;;2022-03-31
FI;01.789.400/0001-90;WESTERN ASSET IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Ações;20238;5129;193639;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Ações;0;0;4687620;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Brazilian Depository Receipt - BDR;;;270384;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Certificado ou recibo de depósito de valores mobiliários;;;157135;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Cotas de Fundos;;;52747;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Debêntures;;;3739;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Disponibilidades;;;271725;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Mercado Futuro - Posições compradas;;;0;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Obrigações por ações e outros TVM recebidos em empréstimo;;;510600;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Valores a pagar;;;18384;;2022-03-31
FI;02.039.468/0001-15;FUNDO DE INVESTIMENTO DE AÇÕES MILLENIUM;2021-12-31;Valores a receber;;;12408;;2022-03-31
FI;02.097.253/0001-50;SAFRA PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Ações;0;0;435585700;;2022-03-31
FI;02.097.253/0001-50;SAFRA PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Brazilian Depository Receipt - BDR;0;0;3139485;;2022-03-31
FI;02.097.253/0001-50;SAFRA PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Opções - Posições lançadas;0;0;2377268;;2022-03-31
FI;02.097.253/0001-50;SAFRA PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Opções - Posições titulares;0;0;6000866;;2022-03-31
FI;02.201.500/0001-17;XP MULTIGESTOR TOP PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;Disponibilidades;;;5029;;2022-03-31
FI;02.201.500/0001-17;XP MULTIGESTOR TOP PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a pagar;;;16533;;2022-03-31
FI;02.201.500/0001-17;XP MULTIGESTOR TOP PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a receber;;;116;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Ações;4743268;6305976;835362409;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Ações e outros TVM cedidos em empréstimo;;;156299955;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Brazilian Depository Receipt - BDR;;;20831130;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Certificado ou recibo de depósito de valores mobiliários;;;33357587;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Cotas de Fundos;;;10794760;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Investimento no Exterior;;;65445847;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Mercado Futuro - Posições vendidas;;;579230;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Opções - Posições titulares;;;947127;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Operações Compromissadas;;;105221064;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Valores a pagar;;;2206203;;2022-03-31
FI;02.343.288/0001-22;FUNDO DE INVESTIMENTO DE AÇÕES MAINA;2021-12-31;Valores a receber;;;4048600;;2022-03-31
FI;02.433.343/0001-75;FUNDO DE INVESTIMENTO MULTIMERCADO MODERADO CARATINGA;2021-12-31;Disponibilidades;;;5000;;2022-03-31
FI;02.433.343/0001-75;FUNDO DE INVESTIMENTO MULTIMERCADO MODERADO CARATINGA;2021-12-31;Operações Compromissadas;;;6236360;;2022-03-31
FI;02.433.343/0001-75;FUNDO DE INVESTIMENTO MULTIMERCADO MODERADO CARATINGA;2021-12-31;Valores a pagar;;;11507;;2022-03-31
FI;02.433.343/0001-75;FUNDO DE INVESTIMENTO MULTIMERCADO MODERADO CARATINGA;2021-12-31;Valores a receber;;;343711;;2022-03-31
FI;02.444.266/0001-59;SET FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Ações;3709340;5706044;211923319;;2022-03-31
FI;02.444.266/0001-59;SET FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Ações e outros TVM cedidos em empréstimo;;;6194547;;2022-03-31
FI;02.444.266/0001-59;SET FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Certificado ou recibo de depósito de valores mobiliários;0;0;55859193;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Ações;191877;160995;3537632;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Brazilian Depository Receipt - BDR;;;56340;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Certificado ou recibo de depósito de valores mobiliários;;;448181;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Cotas de Fundos;;;359690;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Investimento no Exterior;;;80366;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Operações Compromissadas;;;118654;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Valores a pagar;;;8077;;2022-03-31
FI;02.480.563/0001-50;EMPYREO FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;Valores a receber;;;28142;;2022-03-31
FI;02.498.096/0001-95;SUPER CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Cotas de Fundos;0;0;204585374;;2022-03-31
FI;02.498.096/0001-95;SUPER CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Disponibilidades;;;5000;;2022-03-31
FI;02.498.096/0001-95;SUPER CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a pagar;;;27889;;2022-03-31
FI;02.498.096/0001-95;SUPER CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a receber;;;3614;;2022-03-31
FI;02.536.364/0001-16;CA INDOSUEZ DI MASTER FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;2021-12-31;Debêntures;;;8738091;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Cotas de Fundos;;;15512356;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Debêntures;;;68851286;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Depósitos a prazo e outros títulos de IF;;;52665965;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Disponibilidades;;;111351;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Mercado Futuro - Posições compradas;;;-41216;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Mercado Futuro - Posições vendidas;;;2573;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Opções - Posições lançadas;;;7061;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Opções - Posições titulares;;;19705;;2022-03-31
FI;02.539.921/0001-52;BNP PARIBAS RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;Operações Compromissadas;;;5007281;;2022-03-31
